04:37Z global_step=72345600, avg_episode_returns=-0.38
04:42Z global_step=76134400, avg_episode_returns=0.51
04:47Z global_step=79872000, avg_episode_returns=0.27
04:52Z global_step=83558400, avg_episode_returns=0.79
04:57Z global_step=87296000, avg_episode_returns=0.94
05:02Z global_step=90982400, avg_episode_returns=1.42
05:07Z global_step=94720000, avg_episode_returns=1.34
05:12Z global_step=98508800, avg_episode_returns=1.56
05:17Z global_step=102144000, avg_episode_returns=2.11
05:22Z global_step=105881600, avg_episode_returns=2.06
05:27Z global_step=109619200, avg_episode_returns=1.89
05:32Z global_step=113305600, avg_episode_returns=2.62
05:37Z global_step=117043200, avg_episode_returns=2.35
05:42Z global_step=120678400, avg_episode_returns=2.59
05:47Z global_step=124364800, avg_episode_returns=2.23
05:52Z global_step=128102400, avg_episode_returns=2.59
05:57Z global_step=131737600, avg_episode_returns=3.14
06:02Z global_step=135475200, avg_episode_returns=2.57
06:07Z global_step=139212800, avg_episode_returns=3.47
06:12Z global_step=142848000, avg_episode_returns=2.61
06:17Z global_step=146534400, avg_episode_returns=3.49
06:22Z global_step=150169600, avg_episode_returns=3.43
06:27Z global_step=153907200, avg_episode_returns=3.28
06:32Z global_step=157644800, avg_episode_returns=3.05
06:37Z global_step=161280000, avg_episode_returns=3.53
06:42Z global_step=164966400, avg_episode_returns=3.42
06:47Z global_step=168704000, avg_episode_returns=3.63
06:52Z global_step=172339200, avg_episode_returns=4.15
06:57Z global_step=176076800, avg_episode_returns=3.57
07:02Z global_step=179763200, avg_episode_returns=3.58
07:07Z global_step=183398400, avg_episode_returns=3.64
07:12Z global_step=187136000, avg_episode_returns=3.61
07:17Z global_step=190771200, avg_episode_returns=3.88
07:22Z global_step=194457600, avg_episode_returns=3.79
07:27Z global_step=198195200, avg_episode_returns=3.67
07:32Z global_step=199987200, avg_episode_returns=3.85
07:37Z global_step=199987200, avg_episode_returns=3.85
07:42Z global_step=199987200, avg_episode_returns=3.85
07:47Z global_step=199987200, avg_episode_returns=3.85
07:52Z global_step=199987200, avg_episode_returns=3.85
07:57Z global_step=199987200, avg_episode_returns=3.85
08:02Z global_step=199987200, avg_episode_returns=3.85
08:07Z global_step=199987200, avg_episode_returns=3.85
08:12Z global_step=199987200, avg_episode_returns=3.85
08:17Z global_step=199987200, avg_episode_returns=3.85
