17:39Z 
17:44Z global_step=1280000, avg_episode_returns=-6.93
17:49Z global_step=4096000, avg_episode_returns=-7.21
17:54Z global_step=6963200, avg_episode_returns=-7.24
17:59Z global_step=9932800, avg_episode_returns=-6.72
18:04Z global_step=12800000, avg_episode_returns=-6.39
18:09Z global_step=15769600, avg_episode_returns=-6.26
18:14Z global_step=18688000, avg_episode_returns=-5.77
18:19Z global_step=21555200, avg_episode_returns=-5.84
18:24Z global_step=24524800, avg_episode_returns=-5.76
18:29Z global_step=27443200, avg_episode_returns=-5.34
18:34Z global_step=30310400, avg_episode_returns=-4.67
18:39Z global_step=33228800, avg_episode_returns=-4.88
18:44Z global_step=36198400, avg_episode_returns=-4.92
18:49Z global_step=39116800, avg_episode_returns=-5.56
18:54Z global_step=41984000, avg_episode_returns=-4.71
18:59Z global_step=44902400, avg_episode_returns=-5.62
19:04Z global_step=47872000, avg_episode_returns=-4.95
19:09Z global_step=50739200, avg_episode_returns=-4.72
19:14Z global_step=53657600, avg_episode_returns=-4.48
19:19Z global_step=56627200, avg_episode_returns=-4.27
19:24Z global_step=59596800, avg_episode_returns=-4.46
19:29Z global_step=62464000, avg_episode_returns=-4.87
19:34Z global_step=65433600, avg_episode_returns=-4.67
19:39Z global_step=68352000, avg_episode_returns=-4.91
19:44Z global_step=71219200, avg_episode_returns=-4.86
19:49Z global_step=74188800, avg_episode_returns=-4.15
19:54Z global_step=77107200, avg_episode_returns=-4.99
19:59Z global_step=79974400, avg_episode_returns=-4.53
20:04Z global_step=82944000, avg_episode_returns=-3.96
20:09Z global_step=85913600, avg_episode_returns=-4.11
20:14Z global_step=88832000, avg_episode_returns=-5.42
20:19Z global_step=91699200, avg_episode_returns=-3.81
20:24Z global_step=94668800, avg_episode_returns=-4.30
20:29Z global_step=97587200, avg_episode_returns=-3.61
20:34Z global_step=100454400, avg_episode_returns=-3.25
20:39Z global_step=103424000, avg_episode_returns=-4.75
20:44Z global_step=106342400, avg_episode_returns=-3.99
20:49Z global_step=109312000, avg_episode_returns=-3.50
20:54Z global_step=112179200, avg_episode_returns=-3.53
20:59Z global_step=115046400, avg_episode_returns=-3.80
21:04Z global_step=117964800, avg_episode_returns=-5.45
21:09Z global_step=120832000, avg_episode_returns=-3.29
21:14Z global_step=123699200, avg_episode_returns=-2.71
21:19Z global_step=126668800, avg_episode_returns=-2.67
21:24Z global_step=129587200, avg_episode_returns=-4.01
21:29Z global_step=132454400, avg_episode_returns=-2.64
21:34Z global_step=135424000, avg_episode_returns=-2.43
21:39Z global_step=138342400, avg_episode_returns=-2.42
21:44Z global_step=141209600, avg_episode_returns=-3.53
21:49Z global_step=144128000, avg_episode_returns=-2.51
21:54Z global_step=147046400, avg_episode_returns=-3.21
21:59Z global_step=149913600, avg_episode_returns=-2.63
22:04Z global_step=152780800, avg_episode_returns=-2.93
22:09Z global_step=155699200, avg_episode_returns=-1.24
22:14Z global_step=158617600, avg_episode_returns=-3.19
22:19Z global_step=161433600, avg_episode_returns=-2.25
22:24Z global_step=164300800, avg_episode_returns=-1.84
22:29Z global_step=167219200, avg_episode_returns=-2.72
22:34Z global_step=170035200, avg_episode_returns=-1.90
22:39Z global_step=172953600, avg_episode_returns=-1.93
22:44Z global_step=175820800, avg_episode_returns=-1.18
22:49Z global_step=178739200, avg_episode_returns=-2.60
22:54Z global_step=181606400, avg_episode_returns=-2.07
22:59Z global_step=184524800, avg_episode_returns=-1.85
23:04Z global_step=187443200, avg_episode_returns=-0.93
23:09Z global_step=190310400, avg_episode_returns=-0.56
23:14Z global_step=193228800, avg_episode_returns=-2.58
23:19Z global_step=196147200, avg_episode_returns=-0.83
23:24Z global_step=199065600, avg_episode_returns=-0.74
23:29Z global_step=199987200, avg_episode_returns=-0.18
23:34Z global_step=199987200, avg_episode_returns=-0.18
23:39Z global_step=199987200, avg_episode_returns=-0.18
23:44Z global_step=199987200, avg_episode_returns=-0.18
23:49Z global_step=199987200, avg_episode_returns=-0.18
23:54Z global_step=199987200, avg_episode_returns=-0.18
23:59Z global_step=199987200, avg_episode_returns=-0.18
00:04Z global_step=199987200, avg_episode_returns=-0.18
00:09Z global_step=199987200, avg_episode_returns=-0.18
00:14Z global_step=199987200, avg_episode_returns=-0.18
00:19Z global_step=199987200, avg_episode_returns=-0.18
00:24Z global_step=199987200, avg_episode_returns=-0.18
00:29Z global_step=199987200, avg_episode_returns=-0.18
00:34Z global_step=199987200, avg_episode_returns=-0.18
00:39Z global_step=199987200, avg_episode_returns=-0.18
00:44Z global_step=199987200, avg_episode_returns=-0.18
00:49Z global_step=199987200, avg_episode_returns=-0.18
00:54Z global_step=199987200, avg_episode_returns=-0.18
00:59Z global_step=199987200, avg_episode_returns=-0.18
01:04Z global_step=199987200, avg_episode_returns=-0.18
01:09Z global_step=199987200, avg_episode_returns=-0.18
01:14Z global_step=199987200, avg_episode_returns=-0.18
01:19Z global_step=199987200, avg_episode_returns=-0.18
01:24Z global_step=199987200, avg_episode_returns=-0.18
01:29Z global_step=199987200, avg_episode_returns=-0.18
01:34Z global_step=199987200, avg_episode_returns=-0.18
01:39Z global_step=199987200, avg_episode_returns=-0.18
01:44Z global_step=199987200, avg_episode_returns=-0.18
01:49Z global_step=199987200, avg_episode_returns=-0.18
01:54Z global_step=199987200, avg_episode_returns=-0.18
01:59Z global_step=199987200, avg_episode_returns=-0.18
02:04Z global_step=199987200, avg_episode_returns=-0.18
02:09Z global_step=199987200, avg_episode_returns=-0.18
02:14Z global_step=199987200, avg_episode_returns=-0.18
02:19Z global_step=199987200, avg_episode_returns=-0.18
02:24Z global_step=199987200, avg_episode_returns=-0.18
02:29Z global_step=199987200, avg_episode_returns=-0.18
02:34Z global_step=199987200, avg_episode_returns=-0.18
02:39Z global_step=199987200, avg_episode_returns=-0.18
02:44Z global_step=199987200, avg_episode_returns=-0.18
02:49Z global_step=199987200, avg_episode_returns=-0.18
02:54Z global_step=199987200, avg_episode_returns=-0.18
02:59Z global_step=199987200, avg_episode_returns=-0.18
03:04Z global_step=199987200, avg_episode_returns=-0.18
03:09Z global_step=199987200, avg_episode_returns=-0.18
03:14Z global_step=199987200, avg_episode_returns=-0.18
03:19Z global_step=199987200, avg_episode_returns=-0.18
03:24Z global_step=199987200, avg_episode_returns=-0.18
03:29Z global_step=199987200, avg_episode_returns=-0.18
03:34Z global_step=199987200, avg_episode_returns=-0.18
03:39Z global_step=199987200, avg_episode_returns=-0.18
03:44Z global_step=199987200, avg_episode_returns=-0.18
03:49Z global_step=199987200, avg_episode_returns=-0.18
03:54Z global_step=199987200, avg_episode_returns=-0.18
03:59Z global_step=199987200, avg_episode_returns=-0.18
04:04Z global_step=199987200, avg_episode_returns=-0.18
04:09Z global_step=199987200, avg_episode_returns=-0.18
04:14Z global_step=199987200, avg_episode_returns=-0.18
04:19Z global_step=199987200, avg_episode_returns=-0.18
04:24Z global_step=199987200, avg_episode_returns=-0.18
04:29Z global_step=199987200, avg_episode_returns=-0.18
04:34Z global_step=199987200, avg_episode_returns=-0.18
04:39Z global_step=199987200, avg_episode_returns=-0.18
04:44Z global_step=199987200, avg_episode_returns=-0.18
04:49Z global_step=199987200, avg_episode_returns=-0.18
04:54Z global_step=199987200, avg_episode_returns=-0.18
04:59Z global_step=199987200, avg_episode_returns=-0.18
05:04Z global_step=199987200, avg_episode_returns=-0.18
05:09Z global_step=199987200, avg_episode_returns=-0.18
05:14Z global_step=199987200, avg_episode_returns=-0.18
05:19Z global_step=199987200, avg_episode_returns=-0.18
05:24Z global_step=199987200, avg_episode_returns=-0.18
05:29Z global_step=199987200, avg_episode_returns=-0.18
05:34Z global_step=199987200, avg_episode_returns=-0.18
05:39Z global_step=199987200, avg_episode_returns=-0.18
05:44Z global_step=199987200, avg_episode_returns=-0.18
05:49Z global_step=199987200, avg_episode_returns=-0.18
05:54Z global_step=199987200, avg_episode_returns=-0.18
05:59Z global_step=199987200, avg_episode_returns=-0.18
06:04Z global_step=199987200, avg_episode_returns=-0.18
06:09Z global_step=199987200, avg_episode_returns=-0.18
06:14Z global_step=199987200, avg_episode_returns=-0.18
06:19Z global_step=199987200, avg_episode_returns=-0.18
06:24Z global_step=199987200, avg_episode_returns=-0.18
06:29Z global_step=199987200, avg_episode_returns=-0.18
06:34Z global_step=199987200, avg_episode_returns=-0.18
06:39Z global_step=199987200, avg_episode_returns=-0.18
06:44Z global_step=199987200, avg_episode_returns=-0.18
06:49Z global_step=199987200, avg_episode_returns=-0.18
06:54Z global_step=199987200, avg_episode_returns=-0.18
06:59Z global_step=199987200, avg_episode_returns=-0.18
07:04Z global_step=199987200, avg_episode_returns=-0.18
07:09Z global_step=199987200, avg_episode_returns=-0.18
07:14Z global_step=199987200, avg_episode_returns=-0.18
07:19Z global_step=199987200, avg_episode_returns=-0.18
07:24Z global_step=199987200, avg_episode_returns=-0.18
07:29Z global_step=199987200, avg_episode_returns=-0.18
07:34Z global_step=199987200, avg_episode_returns=-0.18
07:39Z global_step=199987200, avg_episode_returns=-0.18
07:44Z global_step=199987200, avg_episode_returns=-0.18
07:49Z global_step=199987200, avg_episode_returns=-0.18
07:54Z global_step=199987200, avg_episode_returns=-0.18
07:59Z global_step=199987200, avg_episode_returns=-0.18
