arm,checkpoint,eval_set,steps_to_think,success,zero_boxes,noops_per_eps
attn_dense_200m,cp_199997440,train_unfiltered,0,0.861,0.004,0.0
attn_dense_200m,cp_199997440,train_unfiltered,1,0.86,0.005,0.0
attn_dense_200m,cp_199997440,train_unfiltered,2,0.859,0.005,0.0
attn_dense_200m,cp_199997440,train_unfiltered,3,0.862,0.004,0.0
attn_dense_200m,cp_199997440,train_unfiltered,4,0.86,0.004,0.0
attn_dense_200m,cp_199997440,train_unfiltered,5,0.86,0.004,0.0
attn_dense_200m,cp_199997440,train_unfiltered,6,0.86,0.004,0.0
attn_dense_200m,cp_199997440,train_unfiltered,7,0.859,0.004,0.0
attn_dense_200m,cp_199997440,train_unfiltered,8,0.856,0.004,0.0
attn_dense_200m,cp_199997440,train_unfiltered,9,0.859,0.004,0.0
attn_dense_200m,cp_199997440,train_unfiltered,10,0.858,0.004,0.0
attn_dense_200m,cp_199997440,train_unfiltered,11,0.859,0.004,0.0
attn_dense_200m,cp_199997440,train_unfiltered,12,0.858,0.004,0.0
attn_dense_200m,cp_199997440,valid_medium,0,0.215,0.02,0.0
attn_dense_200m,cp_199997440,valid_medium,1,0.222,0.02,0.0
attn_dense_200m,cp_199997440,valid_medium,2,0.222,0.018,0.0
attn_dense_200m,cp_199997440,valid_medium,3,0.227,0.018,0.0
attn_dense_200m,cp_199997440,valid_medium,4,0.228,0.017,0.0
attn_dense_200m,cp_199997440,valid_medium,5,0.228,0.019,0.0
attn_dense_200m,cp_199997440,valid_medium,6,0.229,0.019,0.0
attn_dense_200m,cp_199997440,valid_medium,7,0.229,0.02,0.0
attn_dense_200m,cp_199997440,valid_medium,8,0.226,0.021,0.0
attn_dense_200m,cp_199997440,valid_medium,9,0.226,0.021,0.0
attn_dense_200m,cp_199997440,valid_medium,10,0.226,0.021,0.0
attn_dense_200m,cp_199997440,valid_medium,11,0.225,0.021,0.0
attn_dense_200m,cp_199997440,valid_medium,12,0.228,0.021,0.0
attn_plain_200m,cp_199997440,train_unfiltered,0,0.933,0.006,0.0
attn_plain_200m,cp_199997440,train_unfiltered,1,0.935,0.005,0.0
attn_plain_200m,cp_199997440,train_unfiltered,2,0.936,0.004,0.0
attn_plain_200m,cp_199997440,train_unfiltered,3,0.939,0.004,0.0
attn_plain_200m,cp_199997440,train_unfiltered,4,0.938,0.004,0.0
attn_plain_200m,cp_199997440,train_unfiltered,5,0.936,0.004,0.0
attn_plain_200m,cp_199997440,train_unfiltered,6,0.937,0.004,0.0
attn_plain_200m,cp_199997440,train_unfiltered,7,0.936,0.005,0.0
attn_plain_200m,cp_199997440,train_unfiltered,8,0.94,0.004,0.0
attn_plain_200m,cp_199997440,train_unfiltered,9,0.939,0.004,0.0
