global_step,avg_episode_returns,avg_episode_length,SPS
51200,-6.73,70.71,1960.94
102400,-7.26,75.83,2913.23
153600,-7.09,74.11,3487.05
204800,-7.13,74.82,3870.10
256000,-7.38,78.02,4142.99
307200,-7.04,74.16,4347.95
358400,-7.02,73.66,4507.50
409600,-7.22,75.95,4652.56
460800,-7.05,73.88,4739.05
512000,-7.18,75.41,4826.04
563200,-6.88,72.46,4899.30
614400,-7.03,74.07,4961.68
665600,-7.35,76.39,5015.80
716800,-7.01,73.54,5063.29
768000,-7.13,74.87,5117.00
819200,-7.24,75.30,5142.63
870400,-6.98,73.67,5185.41
921600,-7.07,74.52,5203.34
972800,-7.12,74.83,5231.35
1024000,-7.32,76.33,5256.11
1075200,-7.07,75.15,5287.25
1126400,-7.06,74.45,5299.16
1177600,-7.36,76.82,5317.97
1228800,-6.93,72.64,5335.66
1280000,-6.97,73.99,5351.97
1331200,-7.24,75.75,5367.07
1382400,-6.98,73.13,5381.16
1433600,-7.27,76.29,5393.85
1484800,-7.29,76.92,5412.69
1536000,-7.19,75.25,5416.64
1587200,-7.19,75.25,5427.56
1638400,-7.12,74.81,5437.68
1689600,-7.24,76.22,5447.26
1740800,-6.98,73.71,5456.26
1792000,-7.01,74.34,5464.88
1843200,-7.29,76.56,5472.25
1894400,-7.25,75.97,5485.32
1945600,-7.32,76.67,5487.14
1996800,-7.04,74.03,5494.08
2048000,-7.22,75.69,5237.71
2099200,-7.14,74.93,5254.04
2150400,-7.27,76.31,5260.89
2201600,-7.43,77.76,5271.76
2252800,-7.12,74.41,5282.26
2304000,-7.16,74.65,5292.05
2355200,-7.42,77.76,5301.64
2406400,-7.01,73.46,5310.84
2457600,-6.98,73.60,5323.47
2508800,-7.09,74.36,5328.18
2560000,-7.08,73.87,5336.23
2611200,-7.11,74.58,5344.06
2662400,-7.07,74.00,5351.60
2713600,-7.25,75.87,5358.94
2764800,-7.10,74.27,5366.02
2816000,-7.06,74.13,5372.79
2867200,-7.13,75.21,5379.41
2918400,-7.31,76.01,5385.82
2969600,-7.10,74.33,5391.91
3020800,-7.12,74.63,5397.98
3072000,-7.19,75.79,5403.83
3123200,-7.33,76.97,5409.48
3174400,-7.25,75.79,5414.94
3225600,-7.34,77.02,5420.26
3276800,-7.39,77.73,5425.39
3328000,-7.09,74.34,5430.02
3379200,-7.19,75.69,5434.84
3430400,-7.37,77.69,5439.58
3481600,-7.19,75.63,5444.17
3532800,-7.10,74.45,5448.58
3584000,-7.12,74.50,5452.93
3635200,-7.07,74.57,5456.82
3686400,-7.15,74.90,5460.97
3737600,-7.20,75.80,5464.92
3788800,-7.16,75.13,5471.55
3840000,-7.10,74.77,5472.77
3891200,-7.02,74.19,5476.44
3942400,-7.34,76.75,5479.75
3993600,-7.10,74.31,5485.82
4044800,-6.92,72.78,5486.70
4096000,-7.23,75.87,5490.10
4147200,-7.13,75.08,5493.40
4198400,-7.01,73.83,5496.28
4249600,-7.00,73.07,5499.15
4300800,-7.06,74.07,5502.30
4352000,-7.15,74.77,5505.35
4403200,-7.16,75.09,5508.26
4454400,-7.04,73.59,5511.11
4505600,-7.22,75.16,5513.92
4556800,-7.02,73.59,5516.40
4608000,-7.21,75.58,5519.08
4659200,-6.95,72.64,5521.73
4710400,-7.03,73.97,5524.31
4761600,-7.11,74.45,5526.82
4812800,-7.28,75.75,5529.34
4864000,-6.96,72.84,5533.90
4915200,-6.96,73.26,5534.12
4966400,-7.27,76.16,5536.44
5017600,-7.22,76.18,5446.98
5068800,-7.16,74.94,5450.11
